 5.73377886e-01 5.99408431e-01 7.13576114e-01
 7.69205528e-01 8.28718731e-01 4.87060496e-01
 2.63783434e-01 3.78243478e-01 3.88692170e-01
 5.43420234e-01 5.63086249e-01 8.15491215e-01
 2.62562076e-01 9.50000000e-01 5.65967843e-01
 5.17781695e-01 8.86637460e-01 6.70966708e-01
 8.42451962e-01 7.66318972e-01 1.27101778e-01
 5.98693462e-02 6.34599479e-01 4.97478578e-01
 9.38629249e-01 3.86749811e-01 4.92862968e-01
 2.31762604e-01 4.48630100e-01 1.92674230e-01
 3.58360956e-01 7.81016005e-02 7.71745403e-01
 6.88094862e-01 5.71119744e-01 2.65658572e-01
 5.85109949e-01 5.58290144e-02 2.79958134e-01
 7.29006774e-01 4.73940404e-01 1.84393922e-01
 7.24651783e-01 4.14825104e-01 3.41936195e-01
 8.91957341e-02 3.39498146e-01 4.55445490e-01
 5.59908896e-01 5.89349347e-01 4.87418508e-01
 6.03411059e-01 6.08284188e-01 7.15572340e-01
 8.14166431e-01 7.94211151e-01 8.34445452e-01
 7.23578581e-01 4.10361427e-01 1.36901448e-01
 5.05713495e-02 5.58881591e-01 6.59422892e-01
 4.58397953e-01 2.45463545e-01 9.25521742e-01
 5.42809471e-01 5.61287249e-01 2.36806316e-01
 6.28602593e-01 8.84612398e-01 6.62573041e-01
 5.76622795e-01 6.01116596e-01 4.98524118e-01
 5.62659695e-01 5.91878398e-01 8.41343158e-01
 7.97044833e-01 1.54298738e-01 7.15697118e-01
 6.93125765e-01 8.67193249e-01 4.39860186e-01
 5.82892306e-01 2.57604343e-01 5.34229704e-01
 8.58226055e-01 2.18357663e-01 9.25037975e-01
 7.23203173e-01 5.06801867e-01 6.21673315e-01
 3.55750969e-01 8.20381262e-01 3.20306025e-01
 4.03742504e-01 2.60131379e-01 6.21246226e-01
 7.28082985e-01 4.82619416e-01 3.48388343e-01
 1.05352199e-01 7.66185759e-01 2.79017916e-01
 8.16615708e-01 1.72059741e-01 7.21770065e-01
 6.23000397e-01 2.76926111e-01 9.03655629e-01
 7.56550776e-01 1.23624002e-01 4.81249813e-01
 7.29613090e-01 4.61579543e-01 2.91917071e-01
 2.92051304e-01 3.39572978e-01 9.48073271e-01
 3.57514962e-01 7.84175264e-02 6.38146054e-01
 5.03707632e-01 2.42506107e-01 5.63413043e-01
 2.29155977e-01 4.57383485e-01 7.25779373e-01
 2.17406657e-01 5.63612431e-01 2.85957791e-01
 3.54880138e-01 2.84937725e-01 1.00630540e-01
 6.92469505e-01 8.81424348e-02 1.77033038e-01
 4.33217766e-01 5.73915637e-02 7.83962492e-01
 7.81923387e-01 1.41964230e-01 6.05208632e-01
 6.30450144e-01 6.06050052e-01 2.83706696e-01
 3.37890230e-01 8.62959549e-02 6.89009937e-01
 5.20417040e-02 5.80298831e-01 9.93631825e-02
